Metric,fftinfer_on_mimic--cxrfmkd1664to14_lp_mse_multirun-seed41.luna.76461.log,fftinfer_on_mimic--cxrfmkd1664to14_lp_mse_multirun-seed42.luna.76462.log,fftinfer_on_mimic--cxrfmkd1664to14_lp_mse_multirun-seed43.luna.76463.log,fftinfer_on_mimic--cxrfmkd1664to14_lp_mse_multirun-seed44.loki.76464.log,fftinfer_on_mimic--cxrfmkd1664to14_lp_mse_multirun-seed45.luna.76465.log
AUC-PR | 'No Finding' (Testing),0.70674,0.70692,0.70669,0.70674,0.70642
AUC-PR | 'Others' (Testing),0.27494,0.27532,0.27487,0.27499,0.2746
AUC-PR | 'Pleural Effusion' (Testing),0.6883,0.6883,0.68821,0.68824,0.68809
AUC-ROC | 'No Finding' (Testing),0.84073,0.84077,0.84073,0.84072,0.84052
AUC-ROC | 'Others' (Testing),0.75942,0.75946,0.75917,0.75934,0.75873
AUC-ROC | 'Pleural Effusion' (Testing),0.87319,0.87312,0.873,0.87318,0.87315
J Index Max | 'No Finding' (Testing),0.54041,0.54121,0.53986,0.53959,0.5398
J Index Max | 'Others' (Testing),0.39948,0.3987,0.39803,0.3978,0.39733
J Index Max | 'Pleural Effusion' (Testing),0.59372,0.59487,0.59631,0.59555,0.59474
J Index at 20% FPR | 'No Finding' (Testing),0.53374,0.53379,0.5344,0.53397,0.53571
J Index at 20% FPR | 'Others' (Testing),0.35382,0.35348,0.353,0.35416,0.35535
J Index at 20% FPR | 'Pleural Effusion' (Testing),0.58192,0.58342,0.57858,0.58109,0.58336
Macro AUC-PR (Testing),0.33531,0.33564,0.33524,0.33535,0.33498
Macro AUC-PR (Validation - During Training),0.33392,0.33398,0.33374,0.33375,0.33384
Macro AUC-PR (Validation - Final),0.33392,0.33398,0.33374,0.33375,0.33354
Macro AUC-ROC (Testing),0.77335,0.77338,0.77313,0.77328,0.77275
Macro AUC-ROC (Validation - During Training),0.77192,0.77217,0.77193,0.77204,0.77196
Macro AUC-ROC (Validation - Final),0.77192,0.77217,0.77193,0.77204,0.77178
epoch,20,20,20,20,20
learning_rate,0.001,0.001,0.001,0.001,0.001
test_loss_epoch,0.27234,0.27227,0.27235,0.27235,0.27243
test_loss_step,0.31674,0.31373,0.31395,0.31731,0.31932
train_loss_epoch,0.26906,0.26901,0.26899,0.26895,0.26903
train_loss_step,0.29533,0.25698,0.25816,0.2938,0.27093
trainer/global_step,17240,17240,17240,17240,17240
val_final_loss_epoch,0.27274,0.27272,0.27277,0.27279,0.27282
val_final_loss_step,0.26143,0.25709,0.25801,0.25855,0.2562
val_loss_epoch,0.27274,0.27272,0.27277,0.27279,0.27299
val_loss_step,0.26143,0.25709,0.25801,0.25855,0.25042
