Metric,chexpert--cxrfmkd_kdinit_cosinesim_multirun-seed41.luna.69992.log,chexpert--cxrfmkd_kdinit_cosinesim_multirun-seed42.luna.69993.log,chexpert--cxrfmkd_kdinit_cosinesim_multirun-seed43.luna.69994.log,chexpert--cxrfmkd_kdinit_cosinesim_multirun-seed44.luna.69995.log,chexpert--cxrfmkd_kdinit_cosinesim_multirun-seed45.luna.69996.log,mimic--cxrfmkd_kdinit_cosinesim_multirun-seed41.luna.70995.log,mimic--cxrfmkd_kdinit_cosinesim_multirun-seed42.luna.70996.log,mimic--cxrfmkd_kdinit_cosinesim_multirun-seed43.luna.70997.log,mimic--cxrfmkd_kdinit_cosinesim_multirun-seed44.luna.70998.log,mimic--cxrfmkd_kdinit_cosinesim_multirun-seed45.luna.70999.log
epoch,40,40,40,40,40,40,40,40,40,40
learning_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_loss_epoch,0.01061,0.01067,0.01053,0.01051,0.01056,0.00982,0.00984,0.00981,0.00976,0.00988
test_loss_step,0.01053,0.01081,0.01054,0.01056,0.01092,0.00996,0.00983,0.00983,0.00931,0.01016
train_loss_epoch,0.00864,0.00871,0.00846,0.0085,0.00832,0.00839,0.0084,0.00841,0.00838,0.00841
train_loss_step,0.00902,0.0094,0.00858,0.00898,0.0088,0.00837,0.0089,0.0088,0.00898,0.00846
trainer/global_step,23840,23840,23840,23840,23840,34480,34480,34480,34480,34480
val_final_loss_epoch,0.01057,0.01065,0.01058,0.01062,0.01055,0.00983,0.00979,0.00981,0.00986,0.00979
val_final_loss_step,0.01018,0.01113,0.01043,0.01013,0.01042,0.00951,0.00984,0.00952,0.00981,0.00953
val_loss_epoch,0.01057,0.01066,0.01058,0.01062,0.01056,0.00983,0.00979,0.00981,0.00986,0.0098
val_loss_step,0.01018,0.01119,0.01043,0.01015,0.01043,0.00951,0.00986,0.00952,0.00981,0.00953
